WARNING 2024-04-07 20:59:38,855 - Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING 2024-04-07 20:59:38,859 - Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING 2024-04-07 20:59:38,864 - Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING 2024-04-07 20:59:38,868 - Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
INFO 2024-04-07 21:01:02,549 - device: cuda
INFO 2024-04-07 21:01:06,521 - Epoch 1: loss =  0.48525, accuracy =  0.58230
INFO 2024-04-07 21:01:53,272 - device: cuda
INFO 2024-04-07 21:01:58,482 - Epoch 1: loss =  0.48453, accuracy =  0.58632
INFO 2024-04-07 21:03:44,186 - device: cuda
INFO 2024-04-07 21:04:17,339 - Epoch 1: loss =  0.28397, accuracy =  0.75712
INFO 2024-04-07 21:05:18,493 - device: cuda
INFO 2024-04-07 21:05:52,010 - Epoch 1: loss =  0.28481, accuracy =  0.75774
